emp_no,first_name,birth_date,from_date,title
34533,Erzsebet,1965-01-10,1995-01-16,9999-01-01
34780,Moni,1965-01-16,2001-09-18,9999-01-01
34788,Ennio,1965-01-27,1994-08-31,9999-01-01
34936,Bokyung,1965-01-12,1991-02-12,9999-01-01
35044,Jiang,1965-01-04,1989-05-27,9999-01-01
35087,Leif,1965-01-17,1994-10-14,9999-01-01
35441,Chandrasekaran,1965-01-31,1990-09-17,9999-01-01
35642,Ashish,1965-01-30,1999-02-28,9999-01-01
35793,Oscar,1965-01-01,1991-05-11,9999-01-01
35798,Ulf,1965-01-29,1997-03-15,9999-01-01
36521,Serif,1965-01-21,1987-03-06,9999-01-01
36626,Fen,1965-01-02,1986-05-09,9999-01-01
36733,Uma,1965-01-04,1997-11-01,9999-01-01
36844,Hailing,1965-01-01,2000-01-12,9999-01-01
36982,Kotesh,1965-01-22,1992-06-23,9999-01-01
37070,Jeong,1965-01-22,1985-02-13,9999-01-01
37945,Suzette,1965-01-02,1994-02-19,9999-01-01
38043,Michaela,1965-01-05,1985-11-23,9999-01-01
38103,Masasuke,1965-01-12,1988-03-31,9999-01-01
38168,Fumiko,1965-01-14,1987-08-15,9999-01-01
38550,JoAnne,1965-01-14,1987-02-16,9999-01-01
38593,Huei,1965-01-14,1986-06-04,9999-01-01
38947,Shuichi,1965-01-25,1998-04-08,9999-01-01
39000,Martijn,1965-01-08,1997-03-03,9999-01-01
39036,Changho,1965-01-08,1996-05-04,9999-01-01
39301,Rimon,1965-01-07,1992-02-06,9999-01-01
39341,Mahmut,1965-01-01,1985-05-11,9999-01-01
39952,Otmar,1965-01-02,1998-07-22,9999-01-01
40269,Toshiki,1965-01-10,1991-12-05,9999-01-01
40283,Sudhanshu,1965-01-07,1985-05-11,9999-01-01
40301,Spyrose,1965-01-20,1997-10-20,9999-01-01
40536,Harngdar,1965-01-20,1988-02-29,9999-01-01
40765,Michaela,1965-01-01,1992-12-21,9999-01-01
40773,Shimshon,1965-01-09,1986-04-13,9999-01-01
40983,Marla,1965-01-17,1986-12-01,9999-01-01
41114,Petter,1965-01-25,1995-12-24,9999-01-01
41137,Bikash,1965-01-20,1996-01-08,9999-01-01
41357,Willard,1965-01-06,1997-03-04,9999-01-01
41518,Keung,1965-01-11,2001-02-08,9999-01-01
41520,Xiong,1965-01-20,1988-03-21,9999-01-01
41609,Yucai,1965-01-04,1987-10-13,9999-01-01
42778,Shuji,1965-01-19,1987-12-18,9999-01-01
42911,Brigham,1965-01-29,1994-10-08,9999-01-01
42950,Shaleah,1965-01-22,1993-10-09,9999-01-01
42955,Yucel,1965-01-12,1995-02-21,9999-01-01
43154,Maha,1965-01-13,1997-07-04,9999-01-01
43733,Huei,1965-01-26,1993-12-31,9999-01-01
43848,Phillip,1965-01-11,1999-05-26,9999-01-01
44054,Alenka,1965-01-18,1997-02-09,9999-01-01
44265,Maria,1965-01-24,1997-01-30,9999-01-01
44540,Mingzeng,1965-01-16,1989-11-12,9999-01-01
44900,Mark,1965-01-05,1994-08-10,9999-01-01
44959,Volkmar,1965-01-21,1988-01-16,9999-01-01
44962,Sariel,1965-01-16,1996-05-18,9999-01-01
45162,Dulce,1965-01-11,1987-10-19,9999-01-01
46000,Zhaofang,1965-01-26,1997-07-24,9999-01-01
46328,Wuxu,1965-01-05,1997-01-27,9999-01-01
46811,Junsik,1965-01-10,1988-04-27,9999-01-01
46834,Tooru,1965-01-22,1998-03-20,9999-01-01
46943,Pasqua,1965-01-31,1993-12-06,9999-01-01
47016,Toong,1965-01-03,1989-03-01,9999-01-01
47139,Marco,1965-01-25,1996-10-29,9999-01-01
47262,Gonzalo,1965-01-10,1985-08-16,9999-01-01
47515,Naraig,1965-01-26,1987-01-18,9999-01-01
47702,Juyoung,1965-01-21,1991-08-12,9999-01-01
47708,Edwin,1965-01-05,1995-07-12,9999-01-01
48275,Sariel,1965-01-29,1987-11-20,9999-01-01
48690,Hitomi,1965-01-12,1999-09-27,9999-01-01
48882,Leen,1965-01-28,1993-06-07,9999-01-01
48904,Yuichiro,1965-01-23,1994-03-07,9999-01-01
48947,Filipp,1965-01-05,1992-05-20,9999-01-01
49010,Kazuhisa,1965-01-16,1990-03-30,9999-01-01
49017,Filipp,1965-01-07,1990-11-26,9999-01-01
49119,Lena,1965-01-09,1991-05-16,9999-01-01
49177,Tze,1965-01-03,1999-03-09,9999-01-01
49464,Siddarth,1965-01-14,1999-09-10,9999-01-01
49477,Baocai,1965-01-14,1998-08-05,9999-01-01
50293,Xinan,1965-01-26,1996-10-08,9999-01-01
50311,Mooi,1965-01-24,1996-10-06,9999-01-01
50453,Aron,1965-01-12,1997-10-02,9999-01-01
50670,Boguslaw,1965-01-30,1985-02-20,9999-01-01
50831,Marie,1965-01-06,1996-06-11,9999-01-01
51036,Chriss,1965-01-29,1995-05-23,9999-01-01
51057,Theirry,1965-01-29,1991-09-27,9999-01-01
51060,Youngkon,1965-01-15,1989-10-20,9999-01-01
51142,Rosine,1965-01-29,1986-01-31,9999-01-01
52038,Chikako,1965-01-13,1985-05-18,9999-01-01
52040,Phule,1965-01-14,1996-12-08,9999-01-01
52283,Trygve,1965-01-20,1994-03-11,9999-01-01
52386,Adas,1965-01-28,1986-05-30,9999-01-01
52590,Jouni,1965-01-21,1996-10-07,9999-01-01
52599,Augustine,1965-01-25,1994-01-13,9999-01-01
52639,Arup,1965-01-09,1996-02-05,9999-01-01
52770,Shugo,1965-01-31,1992-08-28,9999-01-01
52778,Alain,1965-01-15,1986-05-03,9999-01-01
52956,Khalil,1965-01-31,1998-11-24,9999-01-01
52970,Lobel,1965-01-22,1988-03-17,9999-01-01
53278,Premsyl,1965-01-31,1993-02-01,9999-01-01
53314,Eberhardt,1965-01-06,1999-02-23,9999-01-01
53431,Sham,1965-01-12,1993-05-24,9999-01-01
53499,Zdislav,1965-01-20,1994-09-11,9999-01-01
53597,Jiafu,1965-01-30,1985-03-02,9999-01-01
53874,Bodo,1965-01-23,1986-02-14,9999-01-01
53924,Arnould,1965-01-27,1991-01-23,9999-01-01
54198,Shaowen,1965-01-01,1986-01-06,9999-01-01
54632,Etsuo,1965-01-19,1989-06-14,9999-01-01
54795,Sumant,1965-01-29,1994-03-02,9999-01-01
54800,Breannda,1965-01-13,2000-01-27,9999-01-01
55640,Adit,1965-01-25,1993-07-16,9999-01-01
55687,Shih,1965-01-02,1995-03-29,9999-01-01
55799,Jianwen,1965-01-23,1987-06-17,9999-01-01
55857,Adin,1965-01-18,1987-09-15,9999-01-01
56105,Makato,1965-01-11,1989-04-16,9999-01-01
56209,Remzi,1965-01-19,1992-12-01,9999-01-01
56415,Sigeru,1965-01-30,1991-10-24,9999-01-01
56428,Olivera,1965-01-27,1986-11-10,9999-01-01
56682,Roded,1965-01-28,1993-11-06,9999-01-01
56829,Nagui,1965-01-09,1997-06-14,9999-01-01
56847,Menkae,1965-01-14,1998-08-27,9999-01-01
57934,Sanjoy,1965-01-25,1989-12-27,9999-01-01
58141,Bezalel,1965-01-05,1994-09-27,9999-01-01
58147,Shigenori,1965-01-09,1988-02-24,9999-01-01
58384,Mariusz,1965-01-22,1993-11-14,9999-01-01
58454,Ziya,1965-01-25,1999-06-29,9999-01-01
58497,Yechiam,1965-01-22,2000-10-21,9999-01-01
58819,Gennady,1965-01-04,1987-12-02,9999-01-01
58990,Palash,1965-01-04,1998-11-18,9999-01-01
59195,Ronnie,1965-01-08,1990-06-19,9999-01-01
59640,Zita,1965-01-18,1999-01-26,9999-01-01
59869,Zsolt,1965-02-01,1987-09-25,9999-01-01
59966,Steen,1965-01-28,1993-02-03,9999-01-01
60000,Heekeun,1965-01-16,1995-09-23,9999-01-01
60091,Surveyors,1965-02-01,1990-04-11,9999-01-01
60238,Erzsebet,1965-01-23,1999-02-19,9999-01-01
60559,Jeanna,1965-01-19,1988-08-29,9999-01-01
60821,Moty,1965-01-02,1991-09-03,9999-01-01
60845,Bedir,1965-01-14,1997-05-13,9999-01-01
60875,Rildo,1965-01-21,1990-01-14,9999-01-01
60959,Tetsushi,1965-01-09,1989-10-19,9999-01-01
61147,Leszek,1965-01-30,1999-03-03,9999-01-01
61253,Cheong,1965-01-09,2002-05-09,9999-01-01
61377,Dannz,1965-01-01,1997-04-13,9999-01-01
61541,Kasidit,1965-01-08,1993-08-17,9999-01-01
61873,Woody,1965-01-19,1993-02-26,9999-01-01
62033,Heeju,1965-01-24,1987-01-15,9999-01-01
62046,Karlis,1965-01-31,1992-09-19,9999-01-01
62245,Adel,1965-01-01,1995-08-30,9999-01-01
63294,Tetsushi,1965-01-23,1997-03-01,9999-01-01
63419,Hiroyasu,1965-01-14,1989-03-05,9999-01-01
63441,Hinrich,1965-01-15,1999-04-04,9999-01-01
63566,Heekeun,1965-01-31,1999-01-12,9999-01-01
63631,Falguni,1965-01-22,1987-10-15,9999-01-01
63706,Sedat,1965-01-26,1997-07-31,9999-01-01
64023,Laurentiu,1965-01-11,1999-11-08,9999-01-01
64209,Golgen,1965-01-24,1988-02-26,9999-01-01
64487,Tsutomu,1965-01-27,1986-09-17,9999-01-01
64532,Atilio,1965-01-23,1990-11-29,9999-01-01
64632,Zsolt,1965-01-07,1996-02-21,9999-01-01
64790,Shin,1965-01-29,1985-04-19,9999-01-01
64828,Krister,1965-01-27,1999-09-30,9999-01-01
64984,Eldridge,1965-01-06,1994-08-04,9999-01-01
65171,Jeane,1965-01-25,1994-07-06,9999-01-01
65539,Aksel,1965-01-23,1991-01-27,9999-01-01
65883,Patricia,1965-01-07,1991-04-19,9999-01-01
65998,Mandell,1965-01-09,1989-04-08,9999-01-01
66382,Domenico,1965-01-04,1997-07-13,9999-01-01
66530,Dung,1965-01-29,1998-04-04,9999-01-01
66643,Jianhao,1965-01-18,1996-08-26,9999-01-01
66702,Deniz,1965-02-01,1994-09-27,9999-01-01
66757,Yonghong,1965-01-16,1999-04-10,9999-01-01
66807,Aiman,1965-01-21,1990-05-22,9999-01-01
67320,Sadok,1965-01-18,1987-05-10,9999-01-01
67548,Fumitaka,1965-01-11,1998-06-27,9999-01-01
67934,Aiman,1965-01-07,1985-03-07,9999-01-01
68416,Munenori,1965-01-27,1990-11-08,9999-01-01
68608,Yucai,1965-01-26,1989-06-09,9999-01-01
68633,Chinhyun,1965-01-28,1993-07-29,9999-01-01
68648,Jaques,1965-01-25,1992-04-01,9999-01-01
69052,Shietung,1965-01-26,1995-08-05,9999-01-01
69219,Shuky,1965-01-09,1994-11-19,9999-01-01
69867,Miyeon,1965-01-22,1991-04-09,9999-01-01
69878,Chinya,1965-01-24,1997-01-29,9999-01-01
69936,Lalit,1965-01-23,1999-01-31,9999-01-01
70469,Tru,1965-01-12,1990-09-03,9999-01-01
70990,Arumugam,1965-01-22,1990-03-23,9999-01-01
71066,Domenick,1965-01-27,1996-01-05,9999-01-01
71141,Sajjad,1965-01-02,1992-02-17,9999-01-01
71188,Pranjal,1965-01-02,1986-12-14,9999-01-01
71243,Kinh,1965-01-10,1986-03-29,9999-01-01
71334,Cathie,1965-01-15,2001-03-04,9999-01-01
71685,Kristinn,1965-01-01,1989-10-03,9999-01-01
71710,Hitomi,1965-01-31,1997-12-15,9999-01-01
71745,Adil,1965-01-02,1992-05-13,9999-01-01
72190,Sajjad,1965-01-19,1999-09-13,9999-01-01
72194,Feiyu,1965-01-26,1998-10-01,9999-01-01
72232,Naraig,1965-01-10,1989-07-10,9999-01-01
72640,Honglan,1965-01-24,1993-10-04,9999-01-01
72918,Takahira,1965-01-22,1988-01-16,9999-01-01
73076,Froduald,1965-01-22,1993-03-16,9999-01-01
73233,Shigeo,1965-01-15,1985-07-30,9999-01-01
73516,Qingxiang,1965-01-14,1989-06-25,9999-01-01
73743,Anneke,1965-01-15,2000-10-15,9999-01-01
74200,Holgard,1965-01-16,1991-09-24,9999-01-01
74344,Hiroyasu,1965-02-01,1994-11-25,9999-01-01
74668,Masako,1965-01-01,1987-04-09,9999-01-01
74800,Yuuichi,1965-01-25,1989-03-08,9999-01-01
75354,Shuky,1965-01-11,1986-06-16,9999-01-01
75703,Kyoichi,1965-01-08,1996-07-25,9999-01-01
76189,Kolar,1965-01-02,1986-10-20,9999-01-01
76201,Arif,1965-01-10,1992-04-02,9999-01-01
76640,Tristan,1965-01-02,1994-07-13,9999-01-01
77030,Faiza,1965-01-02,1986-03-02,9999-01-01
77303,Xinglin,1965-01-18,1992-03-05,9999-01-01
77647,Niranjan,1965-01-07,1989-11-05,9999-01-01
77815,Ronghao,1965-01-21,1993-06-09,9999-01-01
78106,Ashish,1965-01-09,2000-01-17,9999-01-01
78363,Susumu,1965-01-03,1998-06-23,9999-01-01
78469,Leucio,1965-01-28,1997-08-22,9999-01-01
78871,Conor,1965-01-15,1985-05-25,9999-01-01
79043,Katsuo,1965-01-24,1999-11-07,9999-01-01
79171,Guiseppe,1965-01-19,1991-01-12,9999-01-01
79310,Jeong,1965-01-24,1996-10-27,9999-01-01
79606,Arnd,1965-01-03,1986-12-11,9999-01-01
79763,Sanjoy,1965-01-20,1988-04-09,9999-01-01
79895,Fei,1965-01-30,1986-01-19,9999-01-01
80067,Kazuhisa,1965-01-19,1985-11-09,9999-01-01
80203,Shakhar,1965-01-22,1993-12-01,9999-01-01
80432,Stella,1965-01-17,1990-03-14,9999-01-01
80731,Shaowen,1965-01-25,1987-12-05,9999-01-01
80850,Koldo,1965-02-01,1995-04-16,9999-01-01
80889,Shigeo,1965-01-07,1985-07-30,9999-01-01
80948,Harjit,1965-01-27,1991-05-24,9999-01-01
81105,Jaewon,1965-01-14,1992-05-24,9999-01-01
81545,Larisa,1965-01-13,2000-02-07,9999-01-01
81644,Divine,1965-01-05,1997-11-28,9999-01-01
81995,Sreekrishna,1965-01-10,1990-03-22,9999-01-01
82069,Yechezkel,1965-01-20,1994-11-03,9999-01-01
82098,Poornachandra,1965-01-25,1991-04-20,9999-01-01
82351,Stevo,1965-01-26,1989-10-27,9999-01-01
82511,Uwe,1965-01-27,1998-04-04,9999-01-01
82919,Shigeu,1965-01-05,1998-12-19,9999-01-01
82928,Alselm,1965-01-27,1990-11-16,9999-01-01
83280,Francesca,1965-01-07,1999-08-08,9999-01-01
83289,Shigeichiro,1965-01-09,1994-01-09,9999-01-01
83509,Breannda,1965-01-04,1989-10-12,9999-01-01
83544,Leaf,1965-01-18,1994-09-05,9999-01-01
83714,Ohad,1965-01-27,2000-10-10,9999-01-01
83805,Manohar,1965-01-23,1987-03-11,9999-01-01
83941,Zsolt,1965-01-11,1996-10-08,9999-01-01
84029,Babette,1965-01-27,1997-09-21,9999-01-01
84179,Shuichi,1965-01-25,1989-03-14,9999-01-01
84236,Eberhardt,1965-01-18,1987-06-04,9999-01-01
84315,Kristina,1965-01-23,1996-09-26,9999-01-01
84451,Shiv,1965-01-20,1998-06-14,9999-01-01
84508,Tommaso,1965-01-17,1998-05-02,9999-01-01
84840,Sverrir,1965-01-14,1996-11-03,9999-01-01
84922,Parke,1965-01-22,1996-07-01,9999-01-01
84942,Shin,1965-01-15,1988-02-23,9999-01-01
85216,Ferdinand,1965-01-18,1997-07-08,9999-01-01
85288,Younwoo,1965-01-06,1998-12-08,9999-01-01
85414,Chiradeep,1965-01-14,1999-07-30,9999-01-01
85445,Yongdong,1965-01-09,1998-03-17,9999-01-01
85702,Udi,1965-01-04,1997-08-15,9999-01-01
85874,Pasqua,1965-01-30,1986-06-23,9999-01-01
86213,Kristine,1965-01-28,1993-06-01,9999-01-01
86354,Ronghao,1965-01-27,1993-09-13,9999-01-01
86422,Jaewon,1965-02-01,1985-09-14,9999-01-01
86546,Oldrich,1965-01-09,1985-05-15,9999-01-01
86655,Zhenhua,1965-01-01,1995-08-21,9999-01-01
86672,JoAnne,1965-01-15,1995-09-15,9999-01-01
87129,Keung,1965-01-16,1997-04-13,9999-01-01
87353,Quingbo,1965-01-07,1999-01-17,9999-01-01
87714,Khun,1965-01-16,1989-09-13,9999-01-01
87729,Yongmin,1965-01-24,1986-12-10,9999-01-01
87783,Conor,1965-01-26,1988-02-24,9999-01-01
88103,Goo,1965-01-09,1999-01-31,9999-01-01
88411,Lena,1965-01-31,2000-01-28,9999-01-01
88422,Jungsoon,1965-01-28,1985-04-03,9999-01-01
88647,Vasiliy,1965-01-10,1995-08-09,9999-01-01
88958,Vojin,1965-01-22,1995-07-23,9999-01-01
88965,Mang,1965-01-20,1995-05-22,9999-01-01
89048,Otmar,1965-01-24,1985-03-23,9999-01-01
89090,Tetsushi,1965-01-26,1990-02-01,9999-01-01
89161,Conal,1965-01-07,1991-01-12,9999-01-01
89207,Along,1965-01-15,1992-10-16,9999-01-01
89346,Mansur,1965-01-13,1999-08-31,9999-01-01
89590,Guther,1965-01-27,1991-08-08,9999-01-01
89664,Pranjal,1965-01-20,1998-07-07,9999-01-01
89680,Aiman,1965-01-27,1988-05-01,9999-01-01
89806,Xiadong,1965-01-27,1997-05-24,9999-01-01
89922,Alexius,1965-01-26,1988-04-24,9999-01-01
89941,Arnould,1965-01-23,1989-07-28,9999-01-01
90077,Vivian,1965-01-24,1991-07-08,9999-01-01
90084,Renny,1965-01-01,1989-11-22,9999-01-01
90211,Bader,1965-01-15,1997-10-06,9999-01-01
90292,Koichi,1965-01-09,1990-05-26,9999-01-01
90518,Fumiko,1965-01-24,1988-01-28,9999-01-01
90614,Yonghoan,1965-01-29,1988-09-23,9999-01-01
90692,Rajmohan,1965-01-03,1985-09-14,9999-01-01
91172,Kazuhisa,1965-01-19,1987-07-16,9999-01-01
91182,Lucien,1965-01-04,1988-08-25,9999-01-01
91229,Yahiko,1965-01-01,1996-10-03,9999-01-01
91256,Gunilla,1965-01-13,1998-01-09,9999-01-01
91333,Lobel,1965-01-27,1998-11-29,9999-01-01
91415,Jamaludin,1965-01-04,1987-01-15,9999-01-01
91648,Dmitry,1965-01-29,1988-10-22,9999-01-01
92438,Aria,1965-01-04,1992-04-11,9999-01-01
92454,Visit,1965-01-24,1987-10-22,9999-01-01
92577,Zhanqiu,1965-01-06,1999-01-10,9999-01-01
92598,Ranga,1965-01-18,1996-05-11,9999-01-01
92685,Mang,1965-01-26,1995-06-07,9999-01-01
92841,Claude,1965-01-22,1993-08-04,9999-01-01
92846,Anyuan,1965-01-11,1986-09-05,9999-01-01
92920,Huei,1965-01-20,1993-01-28,9999-01-01
93040,Jaques,1965-01-19,1992-03-13,9999-01-01
93220,Richara,1965-01-11,1996-08-27,9999-01-01
93278,Magdalena,1965-02-01,1997-01-04,9999-01-01
93549,Arie,1965-02-01,2000-03-28,9999-01-01
93600,Kristina,1965-01-13,1988-04-18,9999-01-01
94331,Ramzi,1965-01-26,1999-09-03,9999-01-01
94416,Aran,1965-01-01,2001-11-20,9999-01-01
94761,Hitofumi,1965-01-27,1988-11-22,9999-01-01
94944,Heping,1965-01-13,1988-06-24,9999-01-01
95181,Yishai,1965-01-28,1997-01-30,9999-01-01
95286,Kristin,1965-01-18,1989-08-23,9999-01-01
95314,Rasiah,1965-01-22,1991-08-21,9999-01-01
95406,Alair,1965-01-08,1997-07-12,9999-01-01
95416,Gianluca,1965-01-13,1993-11-29,9999-01-01
95509,Kristinn,1965-01-11,1995-02-08,9999-01-01
95920,Nobuyoshi,1965-01-19,1994-09-07,9999-01-01
96571,Kokou,1965-01-13,1997-11-05,9999-01-01
96579,Mohan,1965-01-18,1996-02-10,9999-01-01
96767,Arumugam,1965-01-07,1985-08-14,9999-01-01
97018,Jeanna,1965-01-09,1989-01-01,9999-01-01
97623,Haldon,1965-01-25,1990-09-11,9999-01-01
97661,Avishai,1965-01-31,1993-05-08,9999-01-01
98288,Sumali,1965-01-12,1989-09-12,9999-01-01
98306,Ziya,1965-01-16,1999-06-24,9999-01-01
98639,Florina,1965-01-29,1996-05-18,9999-01-01
99057,Shugo,1965-01-30,1999-06-21,9999-01-01
99373,Xiaobin,1965-01-13,1985-12-25,9999-01-01
99377,Carrsten,1965-01-18,1991-06-16,9999-01-01
99590,Dhritiman,1965-01-24,1998-12-16,9999-01-01
99654,Mahendra,1965-01-30,1985-09-28,9999-01-01
100865,Hisao,1965-01-19,1990-10-03,9999-01-01
100916,Heejo,1965-01-18,1992-04-22,9999-01-01
101487,Abdelaziz,1965-01-14,1991-01-31,9999-01-01
101647,Mori,1965-01-22,1994-05-10,9999-01-01
101902,Mantis,1965-01-14,1991-03-18,9999-01-01
102620,Adin,1965-01-03,1999-08-12,9999-01-01
103196,Djenana,1965-01-16,1988-07-16,9999-01-01
103310,Visit,1965-01-07,1995-10-02,9999-01-01
103316,Susanne,1965-01-03,1994-07-27,9999-01-01
103342,Beshir,1965-01-03,1998-02-03,9999-01-01
103756,Heping,1965-01-31,1992-04-08,9999-01-01
104133,Pranjal,1965-01-31,1991-07-03,9999-01-01
104845,Werner,1965-01-29,1992-06-17,9999-01-01
104988,Parviz,1965-01-07,1992-08-08,9999-01-01
105342,Kwun,1965-01-01,1999-07-29,9999-01-01
105356,Diederik,1965-01-29,1995-03-08,9999-01-01
105432,Mohamadou,1965-01-08,1995-09-12,9999-01-01
105520,Haldun,1965-01-01,1987-01-29,9999-01-01
105731,Sachem,1965-01-15,1990-08-20,9999-01-01
106096,Naftali,1965-01-14,1992-12-02,9999-01-01
106242,Nevio,1965-02-01,1988-03-25,9999-01-01
106695,Lijie,1965-01-31,1988-10-26,9999-01-01
